well,sample,depth,sandstone,orthoclase,plagioclase,limestone,dolomite,siderite,pyrite,gypsum,total_clay,illite_mica,kaolinite,chlorite,illite_smectite
XN-1,1,2410-2415,68.9049547616,0.7058629988,4.4534830465,0,0.4907328535,0.8115841425,2.2198011609,0,22.4135810362,10.5039093784,1.6595275169,2.3631283647,7.7537828305
XN-1,2,2480-2485,76.7892072981,0.508110285,4.3542478244,0,0.3515443758,0.579626723,0.9746116237,0,16.4426518699,8.351346164,1.580923456,2.4553634114,3.9687056725
XN-1,3,2650-2655,72.5,0.5758425451,5.6070442501,0,0,0.9155833914,1.9959450315,0,18.4237246008,8.08130695,1.5151041668,2.1996260494,6.5486726986
XN-1,4,2730-2735,65.3945820224,0.837421725,5.7006868146,3.0577695438,0,1.0105069009,1.9446804723,0,22.054352521,10.7562497763,1.3273223092,2.5820692795,7.2366078056
XN-1,5,2750-2755,68.9802155567,0.7273655922,5.7126388181,0,0,1.8650223423,1.9856660384,0,20.7290916522,9.7678788624,1.6454482868,2.4343298769,6.7886528333
XN-1,6,2760-2765,58.0280495471,0.7340844969,5.4180348617,0,0,2.5673336241,2.5356839207,0,30.7168135495,14.6022054932,1.808705782,3.2670855256,10.9264392601
XN-1,7,2770-2775,64.6062006659,0.7191358913,4.6369862468,0,0,1.9970661307,1.9069683134,0,26.1336427519,11.4977943717,1.5275872324,3.2639130929,9.6793424732
XD-2,1,1120-1125,74.6919335292,1.3892361324,4.2751518437,1.168113885,0,0.6947600479,2.4095570763,0,15.3712474855,7.662207794,1.3252218013,1.8538298271,4.2295538994
XD-2,2,1150-1155,63.3569244024,0.9040567574,4.4249501625,0.9936548658,0,0.9886304537,1.7462061979,0,27.5855771603,12.3832984171,2.593645227,3.2545444552,8.6990209725
XD-2,3,1240-1245,59.8938384761,0.7190089489,5.3667386535,0.7177305484,0,1.1535422439,2.2276365586,0,29.9215045705,16.0816726687,2.0096483023,3.7387770114,7.441125237
XD-2,4,1410-1415,61.8878389125,0.8224822105,4.4750328625,0.755915897,0,0.9154164461,1.8280819605,0,29.315231711,14.1090613228,2.855484398,3.3107065484,8.387040234
XD-2,5,1470-1475,60.7304071841,0.9425651714,4.3763665112,0.8862759238,0,1.0832097178,2.230784934,0,29.7503905576,13.0842400332,2.5758288873,3.8637433309,9.623386063
XD-2,6,1515-1520,52.240028377,1.0407706758,4.5148013597,1.0013295263,0,1.6319575208,1.4983957799,0,38.0727167605,17.7922379785,3.4132753771,5.97323191,10.1382919904
XT-1,1,2510-2515,43.6911070754,0.5714866615,4.1851589233,1.1258331577,0,2.262911406,1.1051656891,0,47.058337087,22.5854109605,4.3991502629,7.3490928988,11.3894940869
XT-1,2,2545-2550,37.4922211457,1.1262716525,4.6626404238,0.579620122,0,1.4121687169,0,0,54.7270779391,23.6560972568,4.9251602307,9.6987770697,14.5618651381
XT-1,3,2600-2605,33.3869825135,0.5797154289,7.3463454538,0,0,1.2921743424,1.4762496099,0,55.9185326516,26.781319917,5.7947989259,8.4305981445,14.0613209795
XT-1,4,2640-2645,42.0458852885,0.7848093979,5.4030463863,0,0,1.4760888612,1.7123643528,0,48.5778057134,23.0291887338,4.4231528177,7.011833469,13.1659517225
